W,ipr_mean,ipr_median,ipr_max,frac_localized,r_mean,r_GOE_dist,r_Poisson_dist,lambda_min,lambda_max,spectral_width,disorder_type
1.2577576231352259,0.481775686195599,0.43936354617701556,0.9999999998260725,1.0,0.3909002245488706,0.1385997754511294,0.004600224548870602,-3.623865508198646,5.05781522174068,8.681680729939327,synthetic_Gaussian
1.5835863172547269,0.5632456723153486,0.5292499217471326,0.9999999998949507,1.0,0.38807409757693584,0.14142590242306413,0.0017740975769358625,-4.793831419779355,6.094227213344528,10.888058633123883,synthetic_Gaussian
1.9938226396476164,0.6313550930966936,0.6218887861022173,0.9999999999355118,1.0,0.39854291259877733,0.13095708740122264,0.012242912598777356,-6.273188053258679,7.401906346216172,13.675094399474851,synthetic_Gaussian
2.5103328281232806,0.6928819239081369,0.7220273353542662,0.9999999999600089,1.0,0.3907344168288689,0.13876558317113108,0.0044344168288689145,-8.140581792435666,9.050644300780242,17.19122609321591,synthetic_Gaussian
3.16064768382166,0.749786902637382,0.8145630388961358,0.9999999999750424,1.0,0.40814605281867594,0.12135394718132403,0.021846052818675965,-10.495414299605875,11.128381641534233,21.62379594114011,synthetic_Gaussian
3.979430005986696,0.7922102983379804,0.8749498230454628,0.9999999999843623,1.0,0.3933937171488713,0.1361062828511287,0.0070937171488713036,-13.463116622493008,13.745904742976943,27.20902136546995,synthetic_Gaussian
5.010322173396916,0.8336508544817883,0.9198773296442856,0.9999999999901772,1.0,0.3800017355820363,0.14949826441796366,0.0062982644179636615,-17.201817907300697,17.0427576311353,34.244575538435996,synthetic_Gaussian
6.308272351434023,0.8631266534950544,0.9481404692161759,0.9999999999938203,1.0,0.3867306977219982,0.14276930227800178,0.0004306977219982189,-21.910762657821397,21.1946845515297,43.1054472093511,synthetic_Gaussian
7.942463315265625,0.8924235212979268,0.9681232789115007,0.9999999999961084,1.0,0.3953730646270962,0.13412693537290377,0.009073064627096228,-27.8409234873168,26.423000555633426,54.26392404295022,synthetic_Gaussian
10.0,0.9147914034970924,0.9806111563314763,0.9999999999975477,1.0,0.3965975009426116,0.13290249905738838,0.010297500942611615,-35.30837369986462,33.00639003095587,68.31476373082049,synthetic_Gaussian
