city,slug,N,k,sigma,W,mean_degree,median_degree,r_mean,ipr_mean,ipr_max,frac_localized,phase
Santander Cycles London,london_tfl,798,10,500.0,1.0,6.9177685493655865,7.063918628934324,0.42879723049082724,0.260418735277481,0.9749580483922397,1.0,Poisson
Santander Cycles London,london_tfl,798,10,800.0,0.0,9.19466799908518,9.23002112600944,0.5408051870503853,0.011518308728732416,0.4296841054587374,0.5125313283208021,GOE
Santander Cycles London,london_tfl,798,10,800.0,1.0,9.19466799908518,9.23002112600944,0.42200195632205023,0.2586646811174847,0.9788371535554419,1.0,Poisson
Santander Cycles London,london_tfl,798,10,1200.0,0.0,10.34688405804241,10.300759083058807,0.5255950857999464,0.013861467163406851,0.5471300087150915,0.4598997493734336,GOE
Santander Cycles London,london_tfl,798,10,1200.0,1.0,10.34688405804241,10.300759083058807,0.4056964480571567,0.25357114540067993,0.9796323151931974,1.0,Poisson
Santander Cycles London,london_tfl,798,15,300.0,0.0,4.090568829979946,4.027229205290574,0.462387528041327,0.06274989025054194,0.49222923134931645,0.9448621553884712,intermediate
Santander Cycles London,london_tfl,798,15,300.0,1.0,4.090568829979946,4.027229205290574,0.37858373088212416,0.28808313673276675,0.9549156942060217,1.0,Poisson
Santander Cycles London,london_tfl,798,15,500.0,0.0,8.601183391173112,8.802539022113534,0.5267140414949806,0.01870621028553965,0.47406143924510197,0.6528822055137845,GOE
Santander Cycles London,london_tfl,798,15,500.0,1.0,8.601183391173112,8.802539022113534,0.3833985094851449,0.2937330987255602,0.9819170433851984,1.0,Poisson
Santander Cycles London,london_tfl,798,15,800.0,0.0,12.504016521911039,12.688182258223396,0.5215962689650792,0.009785880310934303,0.4933491594669694,0.36716791979949875,GOE
Santander Cycles London,london_tfl,798,15,800.0,1.0,12.504016521911039,12.688182258223396,0.42195912086598863,0.283166752744008,0.9861555316388504,1.0,Poisson
Santander Cycles London,london_tfl,798,15,1200.0,0.0,14.715241657804356,14.661571242381871,0.5296401847189512,0.010369790235383126,0.4768249573625253,0.3132832080200501,GOE
Santander Cycles London,london_tfl,798,15,1200.0,1.0,14.715241657804356,14.661571242381871,0.4028882426440073,0.27026153608386094,0.9872912710362365,1.0,Poisson
Santander Cycles London,london_tfl,798,20,300.0,0.0,4.226601400427328,4.117990625287859,0.4808842408762754,0.07043600300231118,0.4923716124973053,0.9423558897243107,GOE
Santander Cycles London,london_tfl,798,20,300.0,1.0,4.226601400427328,4.117990625287859,0.3896565576883421,0.2996382996797574,0.955556745069771,1.0,Poisson
Santander Cycles London,london_tfl,798,20,500.0,0.0,9.71574466295385,9.884077090639625,0.5310980106941823,0.02660145226760443,0.4872486461790886,0.7393483709273183,GOE
Santander Cycles London,london_tfl,798,20,500.0,1.0,9.71574466295385,9.884077090639625,0.4178616434594035,0.3139578753458262,0.985684634898809,1.0,Poisson
Santander Cycles London,london_tfl,798,20,800.0,0.0,15.23612797774628,15.567985876502993,0.5405805198435127,0.010206208675697477,0.37581993043128165,0.3634085213032581,GOE
Santander Cycles London,london_tfl,798,20,800.0,1.0,15.23612797774628,15.567985876502993,0.4236790268084743,0.3014157713612965,0.9894308561717159,1.0,Poisson
Santander Cycles London,london_tfl,798,20,1200.0,0.0,18.692561481161803,18.776750680892995,0.5264708298204581,0.008385150056132338,0.4349229350062618,0.2644110275689223,GOE
